Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
18/12/2020,42.75,43.25,42.50,42.75, +0.50, +1.18,"139,381,554","5,968,561.03"
17/12/2020,42.75,42.75,42.25,42.25, -0.25, -0.59,"35,365,152","1,502,223.72"
16/12/2020,43.00,43.25,42.25,42.50, -0.25, -0.58,"52,969,111","2,258,529.36"
15/12/2020,42.00,43.00,41.75,42.75, +0.50, +1.18,"64,383,562","2,724,259.82"
14/12/2020,42.75,43.50,42.25,42.25, -0.75, -1.74,"77,691,747","3,312,418.86"
09/12/2020,43.25,43.50,42.50,43.00, -0.25, -0.58,"72,823,343","3,131,034.26"
08/12/2020,42.50,44.00,42.25,43.25, +0.25, +0.58,"117,689,006","5,075,626.28"
04/12/2020,42.50,43.25,42.50,43.00, +0.75, +1.78,"92,416,783","3,960,173.41"
03/12/2020,41.50,42.50,40.75,42.25, +1.25, +3.05,"96,108,962","4,014,144.92"
02/12/2020,40.25,41.50,40.25,41.00, 0.00, 0.00,"73,403,329","3,006,701.18"
01/12/2020,40.50,41.50,40.25,41.00, +1.00, +2.50,"55,259,149","2,266,210.28"
30/11/2020,41.25,41.50,39.75,40.00, -1.75, -4.19,"108,606,672","4,389,842.45"
27/11/2020,41.50,42.00,41.50,41.75, -0.25, -0.60,"54,494,905","2,274,639.27"
26/11/2020,41.75,42.00,41.25,42.00, +0.50, +1.20,"85,758,538","3,570,176.26"
25/11/2020,41.25,42.00,40.25,41.50, +1.50, +3.75,"198,887,517","8,215,614.09"
24/11/2020,40.75,41.25,40.00,40.00, -0.50, -1.23,"162,899,306","6,601,844.92"
23/11/2020,38.75,40.50,38.75,40.50, +2.25, +5.88,"138,806,358","5,527,192.52"
20/11/2020,37.75,38.50,37.50,38.25, +0.50, +1.32,"67,256,749","2,548,118.95"
19/11/2020,38.00,38.25,37.50,37.75, -0.25, -0.66,"53,651,897","2,037,589.87"
18/11/2020,37.00,38.00,37.00,38.00, +0.50, +1.33,"58,484,618","2,205,988.53"
17/11/2020,37.50,38.00,37.25,37.50, 0.00, 0.00,"66,527,582","2,503,332.69"
16/11/2020,38.00,38.25,37.50,37.50, 0.00, 0.00,"48,455,599","1,834,721.96"
13/11/2020,36.75,38.00,36.50,37.50, +0.25, +0.67,"71,592,591","2,672,727.87"
12/11/2020,37.75,38.00,36.75,37.25, -1.00, -2.61,"100,179,574","3,729,819.34"
11/11/2020,38.50,38.75,37.25,38.25, 0.00, 0.00,"110,724,831","4,220,932.46"
10/11/2020,36.75,38.50,36.25,38.25, +3.50, +10.07,"176,364,209","6,604,787.54"
09/11/2020,34.50,35.75,34.50,34.75, +0.75, +2.21,"93,606,865","3,262,459.43"
06/11/2020,34.00,34.50,33.25,34.00, 0.00, 0.00,"60,028,803","2,033,191.04"
05/11/2020,33.25,34.00,33.00,34.00, +1.50, +4.62,"82,382,538","2,758,656.74"
04/11/2020,32.50,33.00,32.25,32.50, -0.25, -0.76,"45,919,745","1,498,182.82"
03/11/2020,31.25,32.75,31.25,32.75, +1.75, +5.65,"65,691,635","2,110,745.24"
02/11/2020,31.00,31.25,30.50,31.00, 0.00, 0.00,"30,861,710","954,480.28"
