Date,Open,High,Low,Close
03/26/20,1074.64,1103.59,1072.94,1091.96
03/25/20,1063.23,1099.94,1050.72,1080.03
03/24/20,1064.33,1067.51,1024.38,1033.84
03/23/20,1045.65,1065.67,1022.83,1024.46
03/20/20,1077.65,1133.56,1070.05,1127.24
03/19/20,1019.07,1048.80,1010.60,1044.19
03/18/20,1053.04,1076.16,1026.89,1048.15
03/17/20,1045.09,1068.85,1035.16,1035.17
03/16/20,1072.30,1105.20,1043.79,1046.08
03/13/20,1128.91,1164.16,969.08,1128.91
03/12/20,1184.16,1187.39,1095.37,1114.91
03/11/20,1268.56,1281.63,1238.00,1249.89
03/10/20,1262.80,1285.65,1258.70,1271.25
03/09/20,1272.95,1299.77,1249.31,1255.94
03/06/20,1373.19,1374.20,1359.75,1364.57
03/05/20,1391.35,1408.35,1390.83,1390.83
03/04/20,1361.44,1380.82,1358.24,1378.61
03/03/20,1357.72,1380.39,1352.22,1375.02
03/02/20,1355.99,1358.52,1317.45,1335.72
02/28/20,1348.46,1357.15,1337.00,1340.52
02/27/20,1369.83,1397.69,1355.63,1395.08
02/26/20,1425.56,1428.35,1366.41,1366.41
02/25/20,1436.24,1446.63,1416.40,1439.10
02/24/20,1473.57,1474.12,1435.56,1435.56
02/21/20,1480.53,1495.17,1476.89,1495.09
02/20/20,1504.48,1504.95,1484.51,1491.24
02/19/20,1517.78,1523.61,1501.74,1505.54
02/18/20,1521.00,1522.33,1510.52,1513.68
02/17/20,1528.48,1532.87,1523.74,1527.25
02/14/20,1537.16,1540.46,1524.15,1526.30
02/13/20,1539.31,1542.19,1530.44,1532.77
02/12/20,1530.59,1542.76,1529.15,1539.84
02/11/20,1538.31,1539.43,1522.97,1523.93
02/07/20,1536.28,1539.36,1527.34,1535.24
02/06/20,1538.29,1541.81,1530.51,1535.79
02/05/20,1521.67,1534.93,1516.55,1534.14
02/04/20,1501.34,1520.10,1499.21,1519.38
02/03/20,1507.28,1513.43,1495.94,1496.06
01/31/20,1528.86,1532.09,1514.14,1514.14
01/30/20,1516.36,1525.17,1515.68,1523.99
01/29/20,1522.88,1528.14,1511.15,1524.59
01/28/20,1519.55,1535.23,1507.36,1513.26
01/27/20,1546.90,1548.11,1519.03,1524.15
01/24/20,1575.07,1576.68,1567.07,1569.55
01/23/20,1570.66,1577.92,1567.10,1573.70
01/22/20,1579.25,1580.34,1566.86,1574.59
01/21/20,1584.17,1587.85,1573.26,1574.94
01/20/20,1597.50,1598.70,1586.73,1589.11
01/17/20,1600.28,1604.28,1595.96,1600.48
01/16/20,1582.77,1598.38,1581.75,1595.87
01/15/20,1582.96,1587.77,1575.98,1581.05
01/14/20,1589.68,1592.84,1579.83,1586.90
01/13/20,1586.13,1588.79,1579.34,1586.16
01/10/20,1583.48,1584.16,1573.80,1580.63
01/09/20,1572.74,1581.50,1568.16,1579.64
01/08/20,1569.82,1572.03,1555.75,1559.27
01/07/20,1578.52,1585.44,1570.04,1585.23
01/06/20,1584.13,1585.56,1565.93,1568.50
01/03/20,1596.95,1604.43,1592.90,1594.97
01/02/20,1584.35,1597.92,1583.18,1595.82
12/30/19,1581.05,1583.86,1575.92,1579.84
12/27/19,1583.46,1588.02,1568.05,1578.22
12/26/19,1573.81,1579.33,1573.44,1579.03
12/25/19,1566.59,1574.41,1564.85,1573.00
12/24/19,1575.03,1576.56,1567.27,1568.63
12/23/19,1574.85,1581.40,1571.30,1573.57
12/20/19,1572.61,1576.43,1566.77,1572.92
12/19/19,1558.80,1576.50,1552.88,1573.51
12/18/19,1555.55,1566.27,1554.99,1563.74
12/17/19,1551.71,1556.82,1543.22,1548.65
12/16/19,1572.64,1573.41,1549.69,1549.74
12/13/19,1577.38,1582.16,1570.07,1573.91
12/12/19,1558.60,1568.62,1557.10,1563.85
12/11/19,1555.38,1559.19,1546.51,1551.82
12/09/19,1559.84,1559.93,1548.01,1552.96
12/06/19,1571.10,1575.79,1558.50,1558.99
12/04/19,1562.22,1570.39,1556.51,1565.45
12/03/19,1562.63,1574.12,1561.46,1567.63
12/02/19,1588.59,1589.34,1566.68,1569.53
11/29/19,1594.04,1594.54,1580.08,1590.59
11/28/19,1607.97,1608.67,1595.11,1597.68
11/27/19,1611.85,1613.81,1604.34,1607.27
11/26/19,1618.15,1620.60,1608.64,1609.38
11/25/19,1603.13,1614.80,1601.76,1614.80
11/22/19,1595.38,1599.49,1591.18,1597.72
11/21/19,1594.95,1595.77,1583.77,1591.86
11/20/19,1599.42,1603.57,1595.01,1596.83
11/19/19,1605.47,1609.30,1600.05,1607.25
11/18/19,1605.19,1609.99,1596.80,1608.00
11/15/19,1613.30,1615.48,1595.32,1602.23
11/14/19,1616.61,1619.86,1605.32,1609.47
11/13/19,1621.91,1627.45,1610.93,1615.14
11/12/19,1625.42,1632.82,1622.18,1626.20
11/11/19,1632.77,1634.09,1619.02,1622.12
11/08/19,1641.55,1642.50,1634.50,1637.85
11/07/19,1623.64,1641.38,1620.12,1640.88
11/06/19,1627.23,1631.34,1621.34,1623.99
11/05/19,1628.73,1629.77,1617.72,1626.87
11/04/19,1601.90,1624.83,1600.95,1622.25
11/01/19,1600.73,1603.53,1589.72,1592.52
10/31/19,1606.71,1610.03,1600.23,1601.49
10/30/19,1594.40,1601.83,1589.48,1601.83
10/29/19,1601.44,1605.45,1588.82,1591.21
10/28/19,1591.64,1599.10,1579.13,1596.48
10/25/19,1620.61,1622.66,1592.66,1593.28
10/24/19,1636.07,1637.49,1617.59,1620.97
10/22/19,1625.06,1631.94,1624.44,1631.46
10/21/19,1630.43,1631.63,1619.49,1620.78
10/18/19,1634.40,1637.36,1623.38,1631.43
10/17/19,1638.98,1640.15,1630.47,1632.80
10/16/19,1629.88,1636.51,1628.87,1634.46
10/15/19,1631.05,1633.89,1621.73,1627.01
10/11/19,1613.47,1627.26,1613.08,1626.00
10/10/19,1614.07,1615.25,1606.71,1607.50
10/09/19,1610.65,1617.38,1603.97,1616.18
10/08/19,1620.29,1623.56,1609.27,1612.17
10/07/19,1613.71,1616.06,1607.32,1613.71
10/04/19,1605.96,1615.33,1603.61,1605.96
10/03/19,1606.38,1614.84,1605.13,1610.69
10/02/19,1617.83,1619.34,1608.89,1613.64
10/01/19,1637.59,1639.14,1623.03,1624.09
09/30/19,1643.13,1645.06,1634.10,1637.22
09/27/19,1636.42,1648.67,1630.39,1643.76
09/26/19,1633.92,1638.25,1630.81,1636.75
09/25/19,1624.69,1630.56,1621.63,1628.38
09/24/19,1623.60,1634.04,1622.75,1630.50
09/23/19,1635.31,1636.16,1620.77,1622.79
09/20/19,1641.23,1644.29,1627.90,1636.20
09/19/19,1656.66,1660.81,1638.47,1640.66
09/18/19,1663.62,1664.81,1650.64,1654.14
09/17/19,1661.59,1670.62,1659.14,1663.93
09/16/19,1666.77,1668.77,1658.65,1662.93
09/13/19,1664.37,1667.49,1655.95,1661.96
09/12/19,1678.32,1679.03,1659.42,1660.68
09/11/19,1669.36,1674.73,1661.66,1674.03
09/10/19,1675.10,1677.47,1662.28,1665.93
09/09/19,1673.22,1676.62,1666.61,1671.22
09/06/19,1677.41,1679.65,1667.61,1670.06
09/05/19,1670.91,1673.84,1663.34,1669.79
09/04/19,1650.87,1664.56,1647.29,1658.64
09/03/19,1657.30,1660.26,1642.23,1642.25
09/02/19,1651.20,1658.66,1646.59,1654.11
08/30/19,1647.06,1654.93,1643.04,1654.92
08/29/19,1621.92,1639.17,1621.06,1639.14
08/28/19,1618.30,1624.27,1615.19,1616.93
08/27/19,1625.04,1630.55,1612.10,1615.47
08/26/19,1620.36,1624.77,1609.40,1622.73
08/23/19,1637.70,1646.74,1636.20,1646.68
08/22/19,1628.10,1638.03,1627.30,1633.56
08/21/19,1628.55,1642.07,1623.24,1638.24
08/20/19,1642.82,1643.41,1621.85,1625.57
08/19/19,1639.42,1643.65,1633.79,1637.26
08/16/19,1608.98,1632.42,1607.22,1631.40
08/15/19,1605.00,1614.08,1590.55,1604.03
08/14/19,1634.72,1640.92,1612.09,1619.45
08/13/19,1642.82,1644.15,1619.03,1620.23
08/09/19,1672.22,1675.44,1649.52,1650.64
08/08/19,1670.93,1673.84,1660.36,1665.12
08/07/19,1672.52,1681.81,1665.14,1669.44
08/06/19,1652.72,1673.38,1647.49,1671.48
08/05/19,1675.02,1681.36,1664.73,1665.99
08/02/19,1680.52,1687.15,1671.97,1684.71
08/01/19,1706.56,1709.05,1694.93,1699.75
07/31/19,1704.04,1716.05,1702.72,1711.97
07/30/19,1718.55,1722.20,1704.03,1706.49
07/26/19,1729.26,1730.08,1714.81,1717.97
07/25/19,1727.13,1732.92,1725.47,1730.90
07/24/19,1727.81,1730.71,1720.60,1725.44
07/23/19,1730.70,1732.69,1719.93,1724.87
07/22/19,1733.24,1735.88,1723.64,1727.58
07/19/19,1734.38,1738.70,1732.16,1735.10
07/18/19,1714.75,1725.94,1714.41,1723.44
07/17/19,1726.04,1729.88,1717.82,1718.85
07/15/19,1733.77,1737.65,1727.98,1727.98
07/12/19,1744.73,1746.21,1728.36,1731.59
07/11/19,1745.85,1748.15,1738.63,1740.45
07/10/19,1726.73,1741.76,1724.58,1739.43
