Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
05/03/2021,360.00,382.00,358.00,372.00, +1.00, +0.27,"1,670,917","621,629.61"
04/03/2021,388.00,388.00,366.00,371.00, -35.00, -8.62,"2,135,557","797,407.51"
03/03/2021,360.00,406.00,360.00,406.00, +46.00, +12.78,"1,741,478","683,055.69"
02/03/2021,374.00,378.00,360.00,360.00, -19.00, -5.01,"939,984","347,306.84"
01/03/2021,412.00,414.00,379.00,379.00, -21.00, -5.25,"1,010,216","393,983.68"
25/02/2021,404.00,404.00,383.00,400.00, +5.00, +1.27,"1,348,493","533,212.71"
24/02/2021,400.00,404.00,392.00,395.00, -17.00, -4.13,"729,318","289,257.31"
23/02/2021,402.00,416.00,381.00,412.00, +12.00, +3.00,"861,681","347,052.98"
22/02/2021,424.00,426.00,390.00,400.00, -24.00, -5.66,"1,439,864","580,541.58"
19/02/2021,420.00,444.00,420.00,424.00, -2.00, -0.47,"886,354","379,050.61"
18/02/2021,450.00,460.00,426.00,426.00, -24.00, -5.33,"820,984","364,274.73"
17/02/2021,438.00,478.00,436.00,450.00, +10.00, +2.27,"1,257,990","574,917.79"
16/02/2021,442.00,454.00,418.00,440.00, -42.00, -8.71,"1,515,800","660,225.84"
15/02/2021,410.00,496.00,410.00,482.00, +74.00, +18.14,"3,896,033","1,802,176.60"
11/02/2021,428.00,428.00,402.00,408.00, -16.00, -3.77,"809,415","330,941.61"
10/02/2021,420.00,436.00,414.00,424.00, +12.00, +2.91,"1,441,444","612,491.11"
09/02/2021,434.00,438.00,408.00,412.00, -32.00, -7.21,"1,461,997","611,317.13"
08/02/2021,468.00,468.00,442.00,444.00, -16.00, -3.48,"852,658","382,729.07"
05/02/2021,460.00,472.00,450.00,460.00, -12.00, -2.54,"833,574","386,034.13"
04/02/2021,480.00,488.00,464.00,472.00, -8.00, -1.67,"1,031,159","489,371.19"
03/02/2021,500.00,502.00,480.00,480.00, -20.00, -4.00,"965,524","471,036.07"
02/02/2021,510.00,510.00,492.00,500.00, +10.00, +2.04,"860,486","429,900.95"
01/02/2021,522.00,522.00,490.00,490.00, -38.00, -7.20,"1,237,762","620,565.69"
29/01/2021,500.00,528.00,484.00,528.00, +40.00, +8.20,"2,004,925","1,020,946.65"
28/01/2021,480.00,528.00,476.00,488.00, -14.00, -2.79,"1,647,025","827,080.60"
27/01/2021,530.00,540.00,502.00,502.00, -54.00, -9.71,"1,534,079","796,102.98"
26/01/2021,482.00,556.00,474.00,556.00, +52.00, +10.32,"2,962,867","1,544,322.16"
25/01/2021,540.00,542.00,496.00,504.00, -40.00, -7.35,"1,251,043","639,466.61"
22/01/2021,548.00,578.00,524.00,544.00, -14.00, -2.51,"2,274,523","1,244,022.54"
21/01/2021,584.00,592.00,556.00,558.00, -42.00, -7.00,"1,708,981","974,729.93"
20/01/2021,602.00,612.00,574.00,600.00, -22.00, -3.54,"1,621,115","960,432.48"
19/01/2021,580.00,622.00,576.00,622.00, +62.00, +11.07,"1,962,037","1,191,130.37"
18/01/2021,544.00,574.00,526.00,560.00, -20.00, -3.45,"1,551,436","851,949.72"
15/01/2021,610.00,632.00,544.00,580.00, -50.00, -7.94,"2,543,054","1,469,321.54"
14/01/2021,660.00,692.00,610.00,630.00, -70.00, -10.00,"3,082,975","1,981,810.03"
13/01/2021,746.00,746.00,700.00,700.00, -32.00, -4.37,"1,472,082","1,058,723.59"
12/01/2021,726.00,744.00,686.00,732.00, -16.00, -2.14,"2,397,744","1,723,834.69"
11/01/2021,736.00,804.00,688.00,748.00, +30.00, +4.18,"3,836,851","2,912,770.11"
08/01/2021,582.00,718.00,582.00,718.00, +154.00, +27.30,"5,831,733","3,887,063.49"
07/01/2021,564.00,574.00,544.00,564.00, -4.00, -0.70,"2,543,595","1,426,670.89"
06/01/2021,570.00,608.00,526.00,568.00, -88.00, -13.41,"3,489,393","1,970,495.10"
05/01/2021,556.00,656.00,530.00,656.00, +128.00, +24.24,"10,728,311","6,174,559.89"
04/01/2021,510.00,540.00,482.00,528.00, +42.00, +8.64,"9,498,615","4,882,900.20"
30/12/2020,444.00,566.00,442.00,486.00, +48.00, +10.96,"21,915,510","11,267,072.17"
29/12/2020,498.00,576.00,396.00,438.00, -122.00, -21.79,"17,992,012","8,480,824.15"
28/12/2020,730.00,838.00,560.00,560.00, -124.00, -18.13,"15,945,420","12,363,918.50"
25/12/2020,574.00,686.00,570.00,684.00, +148.00, +27.61,"13,186,242","8,606,554.15"
24/12/2020,420.00,544.00,408.00,536.00, +116.00, +27.62,"15,758,259","7,406,347.54"
23/12/2020,377.00,444.00,376.00,420.00, +42.00, +11.11,"10,426,631","4,235,992.53"
22/12/2020,368.00,378.00,364.00,378.00, +17.00, +4.71,"3,204,498","1,192,260.37"
21/12/2020,356.00,381.00,356.00,361.00, 0.00, 0.00,"4,785,926","1,771,667.46"
18/12/2020,356.00,362.00,353.00,361.00, +5.00, +1.40,"4,539,626","1,629,417.40"
17/12/2020,348.00,365.00,341.00,356.00, +10.00, +2.89,"5,621,344","2,002,184.97"
16/12/2020,359.00,362.00,336.00,346.00, -8.00, -2.26,"3,695,519","1,288,534.92"
15/12/2020,370.00,370.00,347.00,354.00, -20.00, -5.35,"4,752,608","1,711,145.13"
14/12/2020,378.00,379.00,354.00,374.00, +31.00, +9.04,"7,559,605","2,776,640.55"
09/12/2020,350.00,406.00,336.00,343.00, +16.00, +4.89,"17,097,928","6,340,002.04"
08/12/2020,258.00,332.00,258.00,327.00, +70.00, +27.24,"12,574,737","3,764,863.64"
04/12/2020,249.00,257.00,246.00,257.00, +10.00, +4.05,"4,678,823","1,186,547.93"
03/12/2020,234.00,247.00,230.00,247.00, +15.00, +6.47,"4,808,821","1,149,043.45"
02/12/2020,231.00,238.00,227.00,232.00, +4.00, +1.75,"3,695,163","855,414.28"
01/12/2020,232.00,234.00,226.00,228.00, -3.00, -1.30,"3,396,930","782,773.11"
30/11/2020,241.00,246.00,223.00,231.00, -5.00, -2.12,"34,290,188","7,954,075.37"
27/11/2020,229.00,247.00,228.00,236.00, +11.00, +4.89,"8,996,258","2,148,278.08"
26/11/2020,196.50,225.00,196.50,225.00, +29.50, +15.09,"9,987,625","2,140,042.00"
25/11/2020,197.50,197.50,193.50,195.50, +2.50, +1.30,"2,387,258","467,473.20"
24/11/2020,196.50,198.00,193.00,193.00, -5.50, -2.77,"2,135,637","417,027.70"
23/11/2020,192.50,202.00,192.00,198.50, +8.00, +4.20,"4,010,079","790,694.34"
20/11/2020,196.00,198.00,190.00,190.50, -4.00, -2.06,"2,308,424","447,397.47"
19/11/2020,189.50,194.50,189.50,194.50, +6.50, +3.46,"2,437,930","469,456.89"
18/11/2020,184.00,190.00,183.50,188.00, +6.50, +3.58,"3,000,941","563,163.55"
17/11/2020,180.00,184.50,180.00,181.50, +3.50, +1.97,"1,595,526","290,780.55"
16/11/2020,177.50,180.00,175.50,178.00, +3.00, +1.71,"2,019,387","360,082.18"
13/11/2020,172.50,177.50,172.50,175.00, +1.50, +0.86,"2,028,764","355,672.01"
12/11/2020,169.00,175.50,168.50,173.50, +6.50, +3.89,"4,460,613","771,649.26"
11/11/2020,167.00,171.50,164.00,167.00, +3.50, +2.14,"6,465,197","1,081,898.50"
10/11/2020,178.00,185.00,161.00,163.50, -30.00, -15.50,"7,513,345","1,286,629.65"
09/11/2020,193.50,194.50,189.50,193.50, +4.00, +2.11,"2,266,909","436,386.81"
06/11/2020,198.50,198.50,188.00,189.50, -9.50, -4.77,"3,701,132","713,303.40"
05/11/2020,198.50,199.00,193.00,199.00, +5.00, +2.58,"4,072,222","801,780.25"
04/11/2020,180.50,198.50,180.50,194.00, +15.00, +8.38,"7,093,971","1,350,885.56"
03/11/2020,182.00,187.00,179.00,179.00, -2.00, -1.10,"2,989,206","547,634.28"
02/11/2020,178.00,181.00,174.00,181.00, +2.00, +1.12,"2,765,466","490,131.61"
